year	FP_M	FP_F	AP_M	AP_F	RA_M	RA_F	RB_M	RB_F	RD_M	RD_F	R_M	R_F
2012	187	41	232	104	10	7	0	0	8	10	310	146
2013	181	43	219	98	18	13	3	0	5	7	309	146
2014	170	41	245	110	28	14	5	3	5	4	272	131
2015	160	40	279	123	31	14	12	5	4	1	225	113
2016	158	36	277	126	36	15	24	12	0	0	210	107
2017	157	35	293	130	50	18	30	12	0	0	182	97
2018	159	35	314	138	46	25	46	17	0	0	156	87
2019	170	38	329	149	49	30	55	22	0	0	131	70
2020	177	44	342	146	51	37	56	22	0	0	109	57
2021	185	48	357	151	59	36	63	37	0	0	93	47
2022	196	47	393	169	72	52	76	37	0	0	59	32
