ANNO	CODICE_ATENEO	NOME_ATENEO	REGIONE	AREA_GEO	COD_QUALIFICA	DESC_QUALIFICA	GRADE	AREA_SD	FoRD	GENERE	N_AcStaff
2020	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	136
2020	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	178
2019	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	112
2019	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	152
2018	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	112
2018	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	169
2017	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	121
2017	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	168
2016	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	123
2016	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	168
2015	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	139
2015	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	177
2014	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	146
2014	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	209
2013	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	161
2013	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	233
2012	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	157
2012	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	222
