ANNO	NOME_ATENEO	REGIONE	AREA_GEO	COD_QUALIFICA	DESC_QUALIFICA	GRADE	AREA_SD	FoRD	GENERE	N_AcStaff
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	179
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	477
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	269
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	592
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	444
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	356
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	136
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	178
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	985
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	545
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	162
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	436
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	235
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	571
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	392
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	334
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	112
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	152
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	967
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	487
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	152
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	430
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	222
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	518
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	408
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	334
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	112
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	169
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	961
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	471
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	119
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	402
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	231
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	487
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	428
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	318
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	121
