ANNO	AteneoCOD	AteneoNOME	AteneoREGIONE	AteneoAREAGEO	CorsoTIPO	COD_FoET2013	DESC_FoET2013	Genere	DOTTORI	
2020	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	M	1082
2020	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	F	1068
2019	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	M	1125
2019	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	F	1144
2018	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	F	1222
2018	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	M	1184
2017	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	M	1256
2017	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	F	1472
2016	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	F	1240
2016	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	M	1106
2015	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	F	1353
2015	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	M	1200
2014	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	F	1308
2014	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	M	1257
2013	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	F	1273
2013	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	M	1192
2012	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	F	1340
2012	TTTTT	TOTALE ATENEI	ITALIA	ITALIA	Dottorato di ricerca	5	Natural sciences	 mathematics and statistics	M	1157
