ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;Cod_qualifica;Desc_qualifica;GENERE;Età_MEDIA
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);F;58,3
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);M;58,3
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;2PA;Prof. II fascia (associato);F;51,8
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;2PA;Prof. II fascia (associato);M;52,0
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 230/2005;F;44,8
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 230/2005;M;47,5
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;38,5
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37,9
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;41,5
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;40,7
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;3RU;Ricercatore a tempo indeterminato;F;53,0
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;3RU;Ricercatore a tempo indeterminato;M;54,2
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;4AR;Titolare di assegno di ricerca;F;34,1
2020;TTTTT; TOTALE ITALIA;ITALIA;ITALIA;4AR;Titolare di assegno di ricerca;M;33,2
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;58,1
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;58,7
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);F;50,3
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);M;51,0
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;37,5
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;36,8
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;41,5
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;40,3
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;53,6
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;51,7
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;34,6
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;34,1
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;53,9
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;56,0
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);F;50,9
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);M;49,4
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;36,2
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;36,5
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;38,7
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;38,9
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;52,7
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;53,8
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;32,3
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;31,0
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;59,5
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;58,9
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);F;51,0
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);M;52,1
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;41,6
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;38,3
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37,8
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;41,1
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;49,5
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;51,6
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;34,2
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;35,6
2020;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;51,5
