ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;DOTTORI
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;1;Education;F;63
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;1;Education;M;28
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;2;Arts and humanities;F;478
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;2;Arts and humanities;M;342
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;3;Social sciences, journalism and information;F;340
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;3;Social sciences, journalism and information;M;264
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;4;Business, administration and law;F;369
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;4;Business, administration and law;M;381
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;1082
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;1068
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);M;114
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);F;27
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;1154
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;627
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;F;210
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;M;155
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;9;Health and welfare;M;328
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;9;Health and welfare;F;566
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;10;Services;F;11
2020;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;10;Services;M;10
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;1;Education;F;1
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;M;17
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;2;Arts and humanities;F;14
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;9
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;10
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;13
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;9
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;49
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;41
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);M;7
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);F;1
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;1
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;1
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;M;7
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;F;9
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;5
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;19
2020;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Dottorato di ricerca;10;Services;M;1
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;1
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;M;1
2020;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;9
